Fecha,Valor,,
1/1/2017,0,,
1/2/2017,0,,
1/3/2017,0,,
1/4/2017,0.2,,
1/5/2017,0,,
1/6/2017,0,,
1/7/2017,0,,
1/8/2017,1.5,,
1/9/2017,0.5,,
1/10/2017,0,,
1/11/2017,0,,
1/12/2017,0,,
1/13/2017,0,,
1/14/2017,0,,
1/15/2017,0,,
1/16/2017,0,,
1/17/2017,0,,
1/18/2017,0,,
1/19/2017,0,,
1/20/2017,0,,
1/21/2017,0,,
1/22/2017,0,,
1/23/2017,0,,
1/24/2017,0,,
1/25/2017,0,,
1/26/2017,0,,
1/27/2017,0,,
1/28/2017,0,,
1/29/2017,5.9,,
1/30/2017,2.4,,
1/31/2017,0,,
2/1/2017,0,,
2/2/2017,0,,
2/3/2017,18.9,,
2/4/2017,0,,
2/5/2017,0,,
2/6/2017,0,,
2/7/2017,0,,
2/8/2017,0,,
2/9/2017,2.5,,
2/10/2017,0,,
2/11/2017,0,,
2/12/2017,0,,
2/13/2017,0,,
2/14/2017,0,,
2/15/2017,0,,
2/16/2017,0,,
2/17/2017,0.1,,
2/18/2017,0,,
2/19/2017,0,,
2/20/2017,0,,
2/21/2017,0,,
2/22/2017,0.2,,
2/23/2017,0,,
2/24/2017,14.6,,
2/25/2017,0,,
2/26/2017,0,,
2/27/2017,0,,
2/28/2017,0.4,,
3/1/2017,0,,
3/2/2017,0,,
3/3/2017,0,,
3/4/2017,0.9,,
3/5/2017,0.1,,
3/6/2017,0,,
3/7/2017,0,,
3/8/2017,12.6,,
3/9/2017,0,,
3/10/2017,11.9,,
3/11/2017,3.1,,
3/12/2017,12.3,,
3/13/2017,0,,
3/14/2017,0,,
3/15/2017,0,,
3/16/2017,0.1,,
3/17/2017,0,,
3/18/2017,7.2,,
3/19/2017,1.7,,
3/20/2017,10.4,,
3/21/2017,53.3,,
3/22/2017,7.2,,
3/23/2017,22.1,,
3/24/2017,1.6,,
3/25/2017,0.9,,
3/26/2017,4.1,,
3/27/2017,0,,
3/28/2017,0,,
3/29/2017,29.4,,
3/30/2017,2.2,,
3/31/2017,0,,
4/1/2017,0,,
4/2/2017,0,,
4/3/2017,0,,
4/4/2017,0,,
4/5/2017,0,,
4/6/2017,0,,
4/7/2017,0,,
4/8/2017,0.1,,
4/9/2017,0.3,,
4/10/2017,1.1,,
4/11/2017,1.4,,
4/12/2017,15.8,,
4/13/2017,14.6,,
4/14/2017,1.5,,
4/15/2017,3.2,,
4/16/2017,3.1,,
4/17/2017,0,,
4/18/2017,49.6,,
4/19/2017,0,,
4/20/2017,7,,
4/21/2017,0,,
4/22/2017,0,,
4/23/2017,3.1,,
4/24/2017,0,,
4/25/2017,1.2,,
4/26/2017,0,,
4/27/2017,0,,
4/28/2017,0,,
4/29/2017,1.5,,
4/30/2017,3,,
5/1/2017,0.1,,
5/2/2017,0.2,,
5/3/2017,0,,
5/4/2017,6.7,,
5/5/2017,0.9,,
5/6/2017,6.6,,
5/7/2017,2.8,,
5/8/2017,2.7,,
5/9/2017,0,,
5/10/2017,11.2,,
5/11/2017,0,,
5/12/2017,0.6,,
5/13/2017,2.5,,
5/14/2017,0,,
5/15/2017,19.2,,
5/16/2017,0,,
5/17/2017,1.3,,
5/18/2017,0,,
5/19/2017,0,,
5/20/2017,0,,
5/21/2017,0,,
5/22/2017,0.4,,
5/23/2017,0,,
5/24/2017,0,,
5/25/2017,0,,
5/26/2017,25.6,,
5/27/2017,0.4,,
5/28/2017,4.4,,
5/29/2017,0,,
5/30/2017,0,,
5/31/2017,0,,
6/1/2017,0,,
6/2/2017,0,,
6/3/2017,0,,
6/4/2017,0.7,,
6/5/2017,0,,
6/6/2017,0,,
6/7/2017,0,,
6/8/2017,8,,
6/9/2017,0.2,,
6/10/2017,0,,
6/11/2017,3.3,,
6/12/2017,6.7,,
6/13/2017,0,,
6/14/2017,0,,
6/15/2017,17,,
6/16/2017,0,,
6/17/2017,0.6,,
6/18/2017,10.3,,
6/19/2017,0.6,,
6/20/2017,8.6,,
6/21/2017,1.7,,
6/22/2017,0,,
6/23/2017,0,,
6/24/2017,6.1,,
6/25/2017,1.5,,
6/26/2017,4.3,,
6/27/2017,0,,
6/28/2017,1.2,,
6/29/2017,1.9,,
6/30/2017,3.5,,
7/1/2017,0,,
7/2/2017,2.1,,
7/3/2017,3.3,,
7/4/2017,0,,
7/5/2017,9.5,,
7/6/2017,1.4,,
7/7/2017,4.8,,
7/8/2017,0.2,,
7/9/2017,0,,
7/10/2017,6.6,,
7/11/2017,3.7,,
7/12/2017,4.5,,
7/13/2017,0.5,,
7/14/2017,3.7,,
7/15/2017,1.1,,
7/16/2017,0,,
7/17/2017,0,,
7/18/2017,30.2,,
7/19/2017,3.9,,
7/20/2017,4.1,,
7/21/2017,0,,
7/22/2017,0.3,,
7/23/2017,0,,
7/24/2017,1.8,,
7/25/2017,1.2,,
7/26/2017,0,,
7/27/2017,13.3,,
7/28/2017,0.5,,
7/29/2017,1.8,,
7/30/2017,10.5,,
7/31/2017,5.3,,
8/1/2017,0,,
8/2/2017,0,,
8/3/2017,0,,
8/4/2017,0,,
8/5/2017,1.6,,
8/6/2017,0,,
8/7/2017,0,,
8/8/2017,0,,
8/9/2017,0,,
8/10/2017,1.7,,
8/11/2017,0,,
8/12/2017,0.1,,
8/13/2017,0.1,,
8/14/2017,0,,
8/15/2017,0,,
8/16/2017,1.1,,
8/17/2017,0,,
8/18/2017,0.6,,
8/19/2017,20.9,,
8/20/2017,0.8,,
8/21/2017,0,,
8/22/2017,10.6,,
8/23/2017,0,,
8/24/2017,0.1,,
8/25/2017,0.2,,
8/26/2017,0,,
8/27/2017,0,,
8/28/2017,2.4,,
8/29/2017,3.1,,
8/30/2017,0,,
8/31/2017,3.2,,
9/1/2017,0,,
9/2/2017,0,,
9/3/2017,0.1,,
9/4/2017,9.2,,
9/5/2017,0,,
9/6/2017,2.5,,
9/7/2017,7.2,,
9/8/2017,1,,
9/9/2017,4.4,,
9/10/2017,0.2,,
9/11/2017,0,,
9/12/2017,0.6,,
9/13/2017,1.1,,
9/14/2017,4.2,,
9/15/2017,0,,
9/16/2017,0.1,,
9/17/2017,0,,
9/18/2017,9,,
9/19/2017,2,,
9/20/2017,0.9,,
9/21/2017,0,,
9/22/2017,6.8,,
9/23/2017,0.2,,
9/24/2017,4.6,,
9/25/2017,0.6,,
9/26/2017,0,,
9/27/2017,1.1,,
9/28/2017,0.7,,
9/29/2017,2.3,,
9/30/2017,0.5,,
10/1/2017,20.2,,
10/2/2017,0,,
10/3/2017,3.5,,
10/4/2017,5,,
10/5/2017,4.5,,
10/6/2017,0,,
10/7/2017,0,,
10/8/2017,0,,
10/9/2017,6.5,,
10/10/2017,0,,
10/11/2017,0,,
10/12/2017,0,,
10/13/2017,0,,
10/14/2017,0,,
10/15/2017,0,,
10/16/2017,0.7,,
10/17/2017,1.1,,
10/18/2017,1.3,,
10/19/2017,0,,
10/20/2017,0,,
10/21/2017,0.1,,
10/22/2017,0.3,,
10/23/2017,0,,
10/24/2017,0,,
10/25/2017,0,,
10/26/2017,1.3,,
10/27/2017,22.8,,
10/28/2017,83.3,,
10/29/2017,0,,
10/30/2017,0,,
10/31/2017,0,,
11/1/2017,0,,
11/2/2017,0.6,,
11/3/2017,0,,
11/4/2017,0,,
11/5/2017,0,,
11/6/2017,0,,
11/7/2017,11.7,,
11/8/2017,0,,
11/9/2017,13.7,,
11/10/2017,3.5,,
11/11/2017,1.3,,
11/12/2017,0,,
11/13/2017,2.4,,
11/14/2017,0.8,,
11/15/2017,12.8,,
