name,x,y
pp_1,1103525.905,1284168.865
pp_10,1105095.293,1282688.493
pp_12,1104697.284,1282852.541
pp_15,1105486.606,1282995.911
pp_18,1105525.402,1282636.501
pp_24,1104422.432,1282595.457
pp_25,1104629.827,1282537.51
pp_26,1105028.925,1282364.926
pp_27,1105289.472,1282457.683
pp_28,1105122.47,1282319.433
pp_29,1104914.181,1282468.58
pp_30,1105076.781,1282277.683
pp_31,1105203.104,1282526.219
pp_32,1105366.671,1282355.276
pp_34,1105546.672,1282428.536
pp_35,1105849.954,1282612.475
pp_36,1103161.769,1283101.272
pp_37,1103751.003,1283276.939
pp_4,1104079.69,1283482.738
pp_40,1104756.168,1282445.079
pp_41,1104931.835,1282266.26
pp_43,1105126.711,1282451.053
pp_44,1105305.621,1282351.337
pp_45,1105383.214,1282269.017
pp_49,1103730.916,1282314.313
pp_5,1104407.393,1283369.303
pp_51,1104403.954,1282368.097
pp_52,1104739.842,1282260.06
pp_53,1104898.356,1282211.906
pp_54,1104946.409,1282210.33
pp_55,1105014.423,1282240.902
pp_56,1105085.052,1282222.147
pp_57,1105138.619,1282222.934
pp_58,1105211.091,1282390.724
pp_59,1105356.431,1282289.105
pp_60,1105330.435,1282263.109
pp_61,1105567.744,1282256.61
pp_62,1102590.849,1282529.565
pp_66,1104040.894,1282090.593
pp_67,1104352.842,1282062.234
pp_7,1104758.728,1283093.591
pp_70,1105020.28,1282172.38
pp_71,1105069.494,1282154.597
pp_72,1105139.997,1282094.335
pp_74,1105231.114,1282314.761
pp_75,1105185.096,1282168.58
pp_76,1105244.305,1282269.912
pp_78,1105356.28,1282172.38
pp_79,1105512.405,1282089.411
pp_80,1105727.065,1282072.081
pp_84,1104976.146,1281837.923
pp_86,1104022.973,1281436.172
pp_88,1104941.485,1281606.326
pp_91,1105902.536,1281751.271
