name,x,y,zone
pp_10,1105095.293,1282688.493,1
pp_11,1105209.91,1282737.333,1
pp_12,1104697.284,1282852.541,1
pp_18,1105525.402,1282636.501,1
pp_2,1104949.363,1282912.41,1
pp_21,1104135.424,1283217.071,1
pp_22,1103848.684,1283015.407,1
pp_23,1104222.666,1282860.024,1
pp_24,1104422.432,1282595.457,1
pp_25,1104629.827,1282537.51,1
pp_26,1105028.925,1282364.926,1
pp_27,1105289.472,1282457.683,1
pp_28,1105122.47,1282319.433,1
pp_29,1104914.181,1282468.58,1
pp_30,1105076.781,1282277.683,1
pp_31,1105203.104,1282526.219,1
pp_32,1105366.671,1282355.276,1
pp_33,1105427.556,1282425.604,1
pp_34,1105546.672,1282428.536,1
pp_37,1103751.003,1283276.939,1
pp_38,1103609.209,1282458.471,1
pp_39,1103968.421,1282687.705,1
pp_40,1104756.168,1282445.079,1
pp_41,1104931.835,1282266.26,1
pp_42,1104994.855,1282266.26,1
pp_43,1105126.711,1282451.053,1
pp_44,1105305.621,1282351.337,1
pp_45,1105383.214,1282269.017,1
pp_48,1103419.559,1282838.361,1
pp_49,1103730.916,1282314.313,1
pp_50,1104061.769,1282402.541,1
pp_51,1104403.954,1282368.097,1
pp_52,1104739.842,1282260.06,1
pp_53,1104898.356,1282211.906,1
pp_54,1104946.409,1282210.33,1
pp_55,1105020.28,1282214.38,1
pp_56,1105085.052,1282222.147,1
pp_57,1105138.619,1282222.934,1
pp_58,1105211.091,1282390.724,1
pp_59,1105356.431,1282289.105,1
pp_6,1104530.281,1283104.62,1
pp_60,1105330.435,1282263.109,1
pp_61,1105567.744,1282256.61,1
pp_63,1103287.217,1282646.151,1
pp_64,1103622.797,1281784.356,1
pp_65,1103272.053,1282007.88,1
pp_66,1104040.894,1282090.593,1
pp_67,1104352.842,1282062.234,1
pp_68,1104688.422,1282044.904,1
pp_69,1104953.301,1282049.827,1
pp_70,1105020.28,1282172.38,1
pp_71,1105069.494,1282154.597,1
pp_72,1105139.997,1282094.335,1
pp_73,1105392.076,1282051.009,1
pp_74,1105231.114,1282314.761,1
pp_75,1105185.096,1282168.58,1
pp_76,1105244.305,1282269.912,1
pp_77,1105289.078,1282174.882,1
pp_78,1105356.28,1282172.38,1
pp_79,1105512.405,1282089.411,1
pp_8,1105069.888,1282826.545,1
pp_80,1105727.065,1282072.081,1
pp_82,1103170.631,1282321.6,1
pp_83,1104002.491,1281755.998,1
pp_84,1104512.36,1281805.823,1
pp_85,1104976.146,1281837.923,1
pp_86,1105463.374,1281908.217,1
pp_87,1104022.973,1281436.172,1
pp_88,1104498.772,1281502.343,1
pp_89,1104941.485,1281606.326,1
pp_9,1104753.607,1282685.22,1
pp_90,1105269.188,1281666.194,1
pp_91,1105568.531,1281702.431,1
pp_92,1105902.536,1281751.271,1
