name,x,y
pp_1,1103525.905,1284168.865
pp_10,1105095.293,1282688.493
pp_16,1105482.864,1282844.466
pp_21,1104135.424,1283217.071
pp_24,1104422.432,1282595.457
pp_26,1105028.925,1282364.926
pp_27,1105289.472,1282457.683
pp_34,1105546.672,1282428.536
pp_36,1103161.769,1283101.272
pp_40,1104756.168,1282445.079
pp_43,1105126.711,1282451.053
pp_44,1105305.621,1282351.337
pp_46,1105765.468,1282368.864
pp_48,1103419.559,1282838.361
pp_5,1104407.393,1283369.303
pp_51,1104403.954,1282368.097
pp_52,1104739.842,1282260.06
pp_55,1105014.423,1282240.902
pp_58,1105211.091,1282390.724
pp_59,1105356.431,1282289.105
pp_62,1102590.849,1282529.565
pp_66,1104040.894,1282090.593
pp_7,1104758.728,1283093.591
pp_72,1105139.997,1282094.335
pp_74,1105231.114,1282314.761
pp_76,1105244.305,1282269.912
pp_78,1105356.28,1282172.38
pp_80,1105727.065,1282072.081
pp_81,1103170.631,1282321.6
pp_86,1104022.973,1281436.172
pp_88,1104941.485,1281606.326
pp_9,1104753.607,1282685.22
pp_91,1105902.536,1281751.271
