time,P-MS-2,P-MS-1,P-LZ-4,P-M-6,P-VR-1,P-GAL-S1,P-GAL-S2,P-GAL-S3,P-GAL-S4,P-GAL-S5,P-GAL-S6A,P-E3-S6_1,P-RN-S7_1,P-VR-S_1,P-E3-S6_2,P-E3-S6_3,P-E3-S6_4,P-E3-S6_5,P-VR-S_2,P-VR-S_3,P-RN-S7_2,P-RN-S7_3,P-RN-S7_4
1.000000000000,798.9345804370525,797.0382082529360,765.1430170807727,760.3247555210049,738.8739739919496,764.1697826504170,771.7302805864317,777.1549556227062,778.3937335154131,775.9293221111476,773.2730433584268,728.3341428545856,725.6462919956721,737.8223625621220,759.8203076354250,759.9043269160959,759.9043269160959,760.7133326666709,745.1360547482858,745.1360547482858,725.6462919956721,769.6410717155085,786.0882381997801
86401.00000000,793.8151686877873,797.0382036650402,765.1429953046862,760.3225369340234,738.8728741542252,764.1696780384221,771.7301868942671,777.1549585325228,778.3937530349357,775.9294458116937,773.2729964336302,728.3340182251661,725.6462926459117,737.8223624908773,759.8202662047439,759.9041577233503,759.9041577233503,760.7103280018437,745.1347014029398,745.1347014029398,725.6462926459117,769.6410712241983,786.0852417244620
172801.0000000,793.8122282159003,797.0381969419819,765.1429269344742,760.3202932277334,738.8717236492458,764.1694255785727,771.7300961199948,777.1549617950961,778.3937719680846,775.9295636737734,773.2729497457077,728.3338978305482,725.6462923733985,737.8223622316350,759.8202146015207,759.9038703875545,759.9038703875545,760.7072925239855,745.1321407171423,745.1321407171423,725.6462923733985,769.6410706452409,786.0822476790102
259201.0000000,793.8093191243939,797.0381881393149,765.1428065920712,760.3180300310864,738.8705262468454,764.1689709000477,771.7300076799650,777.1549651997244,778.3937904637446,775.9296756774354,773.2729039056633,728.3337786181137,725.6462907691414,737.8223616152037,759.8201500122847,759.9034829158908,759.9034829158908,760.7042360321058,745.1285067750453,745.1285067750453,725.6462907691414,769.6410699232108,786.0792559972092
345601.0000000,793.8064400095401,797.0381773097143,765.1426363325817,760.3157503169328,738.8692853552344,764.1682714913425,771.7299204360934,777.1549685503026,778.3938085070406,775.9297817035379,773.2728592671507,728.3336599526801,725.6462875546132,737.8223604333346,759.8200675063828,759.9029976810707,759.9029976810707,760.7011685494030,745.1239224291465,745.1239224291465,725.6462875546132,769.6410689962124,786.0762666244940
432001.0000000,793.8035895490626,797.0381645021452,765.1424216744506,760.3134557833736,738.8680040647923,764.1673037577877,771.7298330498729,777.1549716957337,778.3938260174181,775.9298816602338,773.2728160204683,728.3335433736862,725.6462825402389,737.8223584460045,759.8199607748950,759.9024118515836,759.9024118515836,760.6980961610031,745.1184999400339,745.1184999400339,725.6462825402389,769.6410677975466,786.0732795156800
518401.0000000,793.8007664987148,797.0381497615440,765.1421692160326,760.3111476923186,738.8666851860056,764.1660630144135,771.7297440112543,777.1549745232163,778.3938428899038,775.9299754588845,773.2727742387542,728.3334293298215,725.6462755602154,737.8223553879060,759.8198227044427,759.9017237776621,759.9017237776621,760.6950224583020,745.1123416452498,745.1123416452498,725.6462755602154,769.6410662574082,786.0702946329837
604801.0000000,793.7979696888519,797.0381331288091,765.1418854091701,760.3088272415471,738.8653312821600,764.1645603606225,771.7296516230247,777.1549769470806,778.3938590130609,775.9300630132176,773.2727339155565,728.3333187077279,725.6462664331676,737.8223509741991,759.8196458204387,759.9009336679037,759.9009336679037,760.6919494672366,745.1055406357264,745.1055406357264,725.6462664331676,769.6410643042012,786.0673119444143
691201.0000000,793.7951980209936,797.0381146409653,765.1415760121604,760.3064956788207,738.8639446974572,764.1628182602838,771.7295540064939,777.1549788997770,778.3938742761186,775.9301442487850,773.2726949945154,728.3332112840682,725.6462549204327,737.8223449055751,759.8194226792447,759.9000431935186,759.9000431935186,760.6888782458250,745.0981814239439,745.0981814239439,725.6462549204327,769.6410618655535,786.0643314225168
777601.0000000,793.7924504643712,797.0380943314194,765.1412459048777,760.3041543077040,738.8625275812124,764.1608660494197,771.7294491385271,777.1549803255815,778.3938885709135,775.9302191124428,773.2726573908409,728.3331072265436,725.6462407128009,737.8223368726931,759.8191462242065,759.8990551399203,759.8990551399203,760.6858092669700,745.0903405926314,745.0903405926314,725.6462407128009,769.6410588690998,786.0613530433963
864001.0000000,793.7897260524792,797.0380722302580,765.1408990853965,760.3018044584403,738.8610819087348,764.1587361267026,771.7293349118314,777.1549811763959,778.3939017914224,775.9302875785148,773.2726210058436,728.3330064990786,725.6462234236496,737.8223265600448,759.8188100874675,759.8979732044944,759.8979732044944,760.6827426618042,745.0820874164791,745.0820874164791,725.6462234236496,769.6410552430743,786.0583767859725
950401.0000000,793.7870238796404,797.0380483645515,765.1405387504406,760.2994474541742,738.8596094994126,764.1564610917081,771.7292092072030,777.1549814089913,778.3939138322729,775.9303496512290,773.2725857362444,728.3329089901865,725.6462025919044,737.8223136493025,759.8184088174867,759.8968018527123,759.8968018527123,760.6796783727223,745.0734844521243,745.0734844521243,725.6462025919044,769.6410509167362,786.0554026314027
1036801.000000,793.7843430976077,797.0380227586510,765.1401674092232,760.2970845830403,738.8581120324426,764.1540718054812,771.7290699661238,777.1549809832161,778.3939245869810,775.9304053641025,773.2725514798261,728.3328146184296,725.6461776916842,737.8222978222051,759.8179380234917,759.8955461710394,759.8955461710394,760.6766162481587,745.0645880937575,745.0645880937575,725.6461776916842,769.6410458205579,786.0524305625147
1123201.000000,793.7816829122205,797.0379954344629,765.1397870126452,760.2947170783902,738.8565910605699,764.1515962250334,771.7289152568941,777.1549798608390,778.3939339463096,775.9304547772067,773.2725181386594,728.3327231052178,725.6461481420132,737.8222787630260,759.8173944404330,759.8942117015426,759.8942117015426,760.6735561000066,745.0554490932155,745.0554490932155,725.6461481420132,769.6410398862622,786.0494605633603
1209601.000000,793.7790425801323,797.0379664117046,765.1393990578526,760.2923461064258,738.8550480221460,764.1490589007143,771.7287433292421,777.1549780048139,778.3939417969253,775.9304979732042,773.2724856205607,728.3326342208944,725.6461133209926,737.8222561606723,759.8167759263409,759.8928042679862,759.8928042679862,760.6704977372547,745.0461130445078,745.0461130445078,725.6461133209926,769.6410330468216,786.0464926189618
1296001.000000,793.7764214056251,797.0379357081298,765.1390046801282,760.2899727596368,738.8534842517552,764.1464808070051,771.7285526542527,777.1549753788237,778.3939480204496,775.9305350528416,773.2724538398152,728.3325475312566,725.6460725763078,737.8222297104523,759.8160814077473,759.8913298096644,759.8913298096644,760.6674409846448,745.0366208334846,745.0366208334846,725.6460725763078,769.6410252364524,786.0435267151676
1382401.000000,793.7738187375260,797.0379033397334,765.1386047313803,760.2875980544427,738.8519009896152,764.1438794034376,771.7283419490284,777.1549719470102,778.3939524929202,775.9305661303769,773.2724227174368,728.3324626191812,725.6460252381337,737.8221991155530,759.8153107891616,759.8897942360963,759.8897942360963,760.6643856920301,745.0270090538547,745.0270090538547,725.6460252381337,769.6410163905907,786.0405628385550
1468801.000000,793.7712339662321,797.0378693209312,765.1381998446938,760.2852229316994,738.8502993899292,764.1412688843423,771.7281101870893,777.1549676738273,778.3939550846367,775.9305913292656,773.2723921810725,728.3323791123983,725.6459706323225,737.8221640882539,759.8144648407813,759.8882033096838,759.8882033096838,760.6613317380853,745.0173103910914,745.0173103910914,725.6459706323225,769.6410064458513,786.0376009763525
1555201.000000,793.7686665208620,797.0378336647176,765.1377904885844,760.2828482590544,738.8486805283288,764.1386605419626,771.7278565968745,777.1549625239770,778.3939556603528,775.9306107783036,773.2723621646710,728.3322967575459,725.6459080950633,737.8221243509165,759.8135450759803,759.8865625579523,759.8865625579523,760.6582790306873,745.0075539759520,745.0075539759520,725.6459080950633,769.6409953399648,786.0346411163728
1641601.000000,793.7661158665268,797.0377963828055,765.1373770122705,760.2804748344131,738.8470454085295,764.1360631784927,771.7275806513924,777.1549564623998,778.3939540797627,775.9306246083551,773.2723326080408,728.3322152693338,725.6458369839713,737.8220796367699,759.8125536272438,759.8848772133430,759.8848772133430,760.6552275054352,744.9977657094377,744.9977657094377,725.6458369839713,769.6409830116933,786.0316832469452
