group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
vk_glayer_3_inst:0,1850.08,42.0938,1762,1,3215.17,496.064,551
sy_glayer_0_inst:0,859.865,42.0815,1475,1,1472.09,497.02,539
sy_glayer_3_inst:0,839.211,41.7667,1423,1,1781.57,628.72,515
ss_glayer_3_inst:0,850.526,42.0374,1872,1,1522.35,1019.92,534
hk_glayer_2_inst:0,1868.55,41.7791,2760,2,7562.28,458.138,526
vk_glayer_2_inst:0,670.157,41.9728,1801,1,1306.51,521.941,520
vk_glayer_0_inst:0,594.914,42.0254,1835,1,1043.03,803.713,551
ss_glayer_2_inst:0,887.437,42.0379,1873,1,1693.76,306.388,557
ss_glayer_1_inst:0,1094.06,42,1831,1,1975.78,552.357,528
vk_glayer_1_inst:0,741.499,41.9558,1829,1,1669.04,489.599,523
hk_glayer_0_inst:0,1630.57,41.8888,2699,2,3146.02,515.95,549
hk_glayer_3_inst:0,1518.25,42.0572,2607,2,1776.81,611.705,559
hk_glayer_1_inst:0,917.138,41.9242,2642,2,1756.12,426.491,547
ss_glayer_0_inst:0,590.639,42.07,1800,1,1343.33,675.477,503
sy_glayer_1_inst:0,845.411,41.8371,1527,1,1448.33,636.088,513
sy_glayer_2_inst:0,702.398,42.0929,1473,1,1262.72,598.228,555
rch_rain,9874.66,58.0339,1,0,2087.05,50.1167,2
ghb_glayer_4,34.2028,41.632,0,0,115.317,102.296,0
ghb_glayer_5,166.19,42.7938,2,2,320.629,277.112,0
ghb_glayer_1,21.447,39.0003,5,5,439.81,220.905,0
ghb_glayer_0,197.033,39.7236,3,3,263.831,163.891,0
ghb_glayer_2,334.072,45.3204,2,2,359.297,45.2603,1
ghb_glayer_3,144.812,40.7125,5,5,215.521,52.194,1
