name,value,group,weight
flow_gal_usecol:gal-flow_time:1.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:100051201.0,-0.0032824,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:100137601.0,-0.003166,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:100224001.0,-0.0030545,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10022401.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:100310401.0,-0.0029479,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:100396801.0,-0.0028458,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:100483201.0,-0.002748,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:100569601.0,-0.0026544,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:100656001.0,-0.0025649,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:100742401.0,-0.0024791,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:100828801.0,-0.002397,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:100915201.0,-0.0023184,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:101001601.0,-0.0022431,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:101088001.0,-0.0021711,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10108801.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:101174401.0,-0.0021021,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:101260801.0,-0.002036,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:101347201.0,-0.0019727,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:101433601.0,-0.0089947,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:101520001.0,-0.004129,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:101606401.0,-0.0027767,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:101692801.0,-0.0025926,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:101779201.0,-0.0025257,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:101865601.0,-0.0024608,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:101952001.0,-0.0023983,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10195201.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:102038401.0,-0.0023382,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:102124801.0,-0.0022804,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:102211201.0,-0.0022248,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:102297601.0,-0.0021713,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:102384001.0,-0.0021198,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:102470401.0,-0.0020703,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:102556801.0,-0.0020226,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:102643201.0,-0.0019768,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:102729601.0,-0.0019327,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:102816001.0,-0.0018903,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10281601.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:102902401.0,-0.0018499,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:102988801.0,-0.0018109,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:103075201.0,-0.0017735,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:103161601.0,-0.0017375,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:103248001.0,-0.0017025,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:103334401.0,-0.0016689,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:103420801.0,-0.0016366,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:103507201.0,-0.0016054,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:103593601.0,-0.0015755,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:103680001.0,-0.0015467,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10368001.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:1036801.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:103766401.0,-0.0015191,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:103852801.0,-0.0014924,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:103939201.0,-0.0014668,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:104025601.0,-0.0014421,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:104112001.0,-0.0014183,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:104198401.0,-0.0013955,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:104284801.0,-0.0013735,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:104371201.0,-0.0013523,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:104457601.0,-0.0013321,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:104544001.0,-0.0013126,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10454401.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:104630401.0,-0.0069666,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:104716801.0,-0.0029547,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:104803201.0,-0.0019829,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:104889601.0,-0.0017333,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:104976001.0,-0.0016556,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105062401.0,-0.0016196,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105148801.0,-0.0015941,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105235201.0,-0.0015718,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105321601.0,-0.0015509,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105408001.0,-0.001531,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10540801.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105494401.0,-0.0015119,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105580801.0,-0.0014936,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105667201.0,-0.0014759,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105753601.0,-0.001459,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105840001.0,-0.0014427,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:105926401.0,-0.001427,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106012801.0,-0.0014119,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106099201.0,-0.0013973,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106185601.0,-0.0066376,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106272001.0,-0.0037203,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10627201.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106358401.0,-0.0025344,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106444801.0,-0.0024872,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106531201.0,-0.0024574,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106617601.0,-0.002429,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:106704001.0,-0.0024014,flow_gal_usecol:gal-flow,0
