name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
HDS_USECOL:P-E3-S6_1_TIME:16934401.0,680.726,0.519231,679.149,682.193,681.245,680.207,754.199,41.4872,684.57,897.78,795.686,712.712,2.37705
HDS_USECOL:P-E3-S6_1_TIME:17020801.0,680.753,0.517962,679.456,682.094,681.271,680.235,754.198,41.487,684.57,897.78,795.685,712.711,2.47556
HDS_USECOL:P-E3-S6_1_TIME:17107201.0,680.756,0.509456,679.629,682.135,681.265,680.246,754.196,41.4855,684.57,897.77,795.681,712.71,2.43548
HDS_USECOL:P-E3-S6_1_TIME:17193601.0,680.594,0.469866,679.332,681.621,681.064,680.124,754.194,41.4848,684.57,897.77,795.679,712.709,2.94867
HDS_USECOL:P-E3-S6_1_TIME:17280001.0,680.688,0.512019,679.324,681.709,681.2,680.176,754.192,41.4834,684.57,897.76,795.676,712.709,2.86088
HDS_USECOL:P-E3-S6_1_TIME:17366401.0,680.598,0.48151,679.357,681.731,681.08,680.117,754.191,41.4826,684.57,897.75,795.674,712.709,2.83939
HDS_USECOL:P-E3-S6_1_TIME:17452801.0,680.67,0.488807,679.318,681.778,681.159,680.181,754.189,41.4818,684.57,897.75,795.671,712.708,2.79162
HDS_USECOL:P-E3-S6_1_TIME:17539201.0,680.691,0.459634,679.714,681.686,681.151,680.232,754.187,41.4808,684.57,897.74,795.668,712.706,2.8844
HDS_USECOL:P-E3-S6_1_TIME:17625601.0,680.763,0.465859,679.491,682.036,681.229,680.297,754.186,41.4808,684.57,897.74,795.667,712.705,2.53433
HDS_USECOL:P-E3-S6_1_TIME:17712001.0,680.718,0.489471,679.572,681.917,681.207,680.228,754.184,41.4798,684.57,897.73,795.664,712.705,2.65323
HDS_USECOL:P-E3-S6_1_TIME:17798401.0,680.704,0.515062,679.495,681.828,681.219,680.189,754.183,41.4784,684.57,897.72,795.661,712.704,2.7417
HDS_USECOL:P-E3-S6_1_TIME:17884801.0,680.775,0.492897,679.351,681.741,681.267,680.282,754.181,41.4772,684.57,897.72,795.658,712.703,2.82923
