iteration,total_runs,obs_realization,par_realization,flow_gal_usecol:gal-flow,flow_gal_w_usecol:gal_w-flow,hds_usecol:p-e3-s6_1,hds_usecol:p-e3-s6_2,hds_usecol:p-e3-s6_3,hds_usecol:p-e3-s6_4,hds_usecol:p-e3-s6_5,hds_usecol:p-gal-s1,hds_usecol:p-gal-s2,hds_usecol:p-gal-s3,hds_usecol:p-gal-s4,hds_usecol:p-gal-s5,hds_usecol:p-gal-s6a,hds_usecol:p-lz-4,hds_usecol:p-m-6,hds_usecol:p-ms-1,hds_usecol:p-ms-2,hds_usecol:p-rn-s7_1,hds_usecol:p-rn-s7_2,hds_usecol:p-rn-s7_3,hds_usecol:p-rn-s7_4,hds_usecol:p-vr-1,hds_usecol:p-vr-s_1,hds_usecol:p-vr-s_2,hds_usecol:p-vr-s_3
0,50,1,1,0,0,4.09403e+07,9.87135e+06,8.15011e+06,6.05382e+06,2.3674e+06,1.61378e+07,315555,9.09909e+06,386705,9.03853e+06,38390.5,233987,104955,16476.3,54207.1,7.23114e+06,1.63631e+07,1.1165e+07,560362,118905,1.28306e+07,246083,292309
0,50,2,2,0,0,3.51447e+07,5.87258e+06,4.09219e+06,2.39331e+06,1.84722e+06,1.55033e+07,429016,1.20966e+07,458339,9.9794e+06,113862,56810.9,139526,60411.2,48959.9,7.67206e+06,1.77265e+07,1.18573e+07,145955,119875,1.72971e+07,6805.17,292309
0,50,3,3,0,0,6.68082e+07,8.57134e+06,6.1901e+06,4.24672e+06,2.30619e+06,7.05737e+06,170150,1.28916e+06,135722,5.20978e+06,173002,378308,187882,119995,14424.8,1.22017e+07,3.23656e+07,1.718e+07,1.00758e+06,259241,1.18941e+07,90009.5,292309
0,50,4,4,0,0,2.66943e+08,1.16569e+07,9.20805e+06,7.09874e+06,3.25611e+06,2.22886e+07,384701,1.13647e+07,544670,9.75303e+06,673114,271851,173592,350236,28016,1.93997e+07,5.70425e+07,2.50633e+07,1.9081e+06,2.62377e+06,3.36161e+07,43169.3,292309
0,50,5,5,0,0,5.28438e+07,3.27994e+06,2.59306e+06,1.20203e+06,497227,1.05376e+07,355207,1.12127e+07,593184,1.06475e+07,146257,88521.5,175253,121334,28016,1.00355e+07,2.52422e+07,1.54969e+07,430467,270950,1.39495e+07,17989.5,292309
0,50,6,6,0,0,5.88066e+07,8.8811e+06,6.36015e+06,4.41312e+06,2.39802e+06,1.58105e+07,459335,2.23991e+07,1.46108e+06,1.37519e+07,383700,319369,157381,287894,28016,8.28457e+06,1.96428e+07,2.31881e+07,2.9434e+06,133466,1.02516e+07,349849,346220
0,50,7,7,0,0,7.09682e+07,5.6014e+06,4.20174e+06,2.49448e+06,716733,1.01925e+07,251495,1.00875e+07,727768,1.10963e+07,290990,155191,165411,75602.3,15663.8,1.26447e+07,3.38442e+07,1.79479e+07,817183,106787,2.39864e+07,368263,425646
0,50,9,9,0,0,5.63905e+07,5.91959e+06,4.67944e+06,2.91556e+06,1.84576e+06,1.17418e+07,278776,6.16015e+06,335545,5.5909e+06,61844.3,71714.1,219101,4948.65,1021.23,6.77476e+06,1.49677e+07,1.25142e+07,139229,237356,1.20036e+07,80633.7,292309
0,50,12,12,0,0,2.24797e+08,1.44672e+07,1.09317e+07,8.78091e+06,3.05066e+06,4.85732e+07,836754,3.89302e+07,2.67724e+06,4.47869e+07,885359,311103,232202,972048,28016,2.73537e+07,8.53902e+07,3.4664e+07,6.77671e+06,831577,6.7627e+07,1.3175e+06,292309
0,50,13,13,0,0,6.83692e+07,1.35494e+06,980705,194526,471505,1.90676e+06,113059,2.7599e+06,169785,3.82467e+06,106071,216723,163960,63152.7,32684.1,1.25727e+07,3.36036e+07,1.25325e+07,934135,78577.8,9.2746e+06,247899,292309
