time,P-MS-2,P-MS-1,P-LZ-4,P-M-6,P-VR-1,P-GAL-S1,P-GAL-S2,P-GAL-S3,P-GAL-S4,P-GAL-S5,P-GAL-S6A,P-E3-S6_1,P-RN-S7_1,P-VR-S_1,P-E3-S6_2,P-E3-S6_3,P-E3-S6_4,P-E3-S6_5,P-VR-S_2,P-VR-S_3,P-RN-S7_2,P-RN-S7_3,P-RN-S7_4
1.000000000000,805.64,806.29,771.25,773.44,750.55,772.20,782.00,787.78,792.38,787.41,789.76,767.82,754.25,761.25,766.62,765.25,765.25,763.74,758.81,758.14,754.25,783.51,793.89
86401.00000000,805.64,806.29,771.25,773.40,750.49,772.20,782.00,787.78,792.38,787.41,789.76,767.82,754.25,761.25,766.62,765.25,765.25,763.73,758.81,758.14,754.25,783.51,793.89
172801.0000000,805.64,806.29,771.25,773.38,750.43,772.20,782.00,787.78,792.38,787.41,789.76,767.82,754.25,761.25,766.62,765.25,765.25,763.73,758.81,758.14,754.25,783.51,793.88
259201.0000000,805.64,806.29,771.25,773.36,750.37,772.20,782.00,787.78,792.38,787.41,789.76,767.82,754.25,761.25,766.62,765.25,765.25,763.73,758.81,758.14,754.25,783.51,793.88
345601.0000000,805.63,806.29,771.25,773.35,750.32,772.20,782.00,787.78,792.38,787.41,789.76,767.81,754.25,761.25,766.62,765.25,765.25,763.73,758.81,758.13,754.25,783.51,793.87
432001.0000000,805.63,806.29,771.24,773.34,750.27,772.19,782.00,787.78,792.38,787.41,789.76,767.81,754.25,761.25,766.62,765.25,765.25,763.72,758.81,758.13,754.25,783.51,793.87
518401.0000000,805.63,806.29,771.24,773.33,750.22,772.19,782.00,787.78,792.38,787.41,789.76,767.81,754.25,761.25,766.62,765.25,765.25,763.72,758.81,758.12,754.25,783.51,793.87
604801.0000000,805.63,806.29,771.24,773.33,750.18,772.18,782.00,787.78,792.38,787.41,789.76,767.81,754.25,761.25,766.62,765.25,765.25,763.72,758.81,758.12,754.25,783.51,793.86
691201.0000000,805.63,806.29,771.24,773.32,750.13,772.18,782.00,787.77,792.38,787.41,789.76,767.81,754.25,761.25,766.62,765.24,765.24,763.72,758.81,758.11,754.25,783.51,793.86
777601.0000000,805.63,806.29,771.24,773.31,750.09,772.17,782.00,787.77,792.38,787.41,789.76,767.81,754.25,761.25,766.62,765.24,765.24,763.71,758.81,758.10,754.25,783.51,793.85
864001.0000000,805.63,806.29,771.24,773.31,750.05,772.17,782.00,787.77,792.38,787.41,789.76,767.81,754.25,761.25,766.62,765.24,765.24,763.71,758.81,758.10,754.25,783.51,793.85
950401.0000000,805.62,806.29,771.24,773.30,750.01,772.16,782.00,787.77,792.38,787.41,789.76,767.81,754.25,761.25,766.62,765.24,765.24,763.71,758.81,758.09,754.25,783.51,793.84
1036801.000000,805.62,806.29,771.24,773.30,749.97,772.16,782.00,787.77,792.38,787.41,789.76,767.80,754.25,761.25,766.61,765.24,765.24,763.71,758.81,758.08,754.25,783.51,793.84
1123201.000000,805.62,806.29,771.24,773.30,749.94,772.15,782.00,787.77,792.38,787.41,789.76,767.80,754.25,761.25,766.61,765.24,765.24,763.70,758.81,758.07,754.25,783.51,793.83
